Class,Alcohol,Alcalinity of ash,Total phenols,Flavanoids,Color intensity,Hue,Proline
1,14.23,15.6,2.8,3.06,5.64,1.04,1065
1,13.2,11.2,2.65,2.76,4.38,1.05,1050
1,13.16,18.6,2.8,3.24,5.68,1.03,1185
1,14.37,16.8,3.85,3.49,7.8,0.86,1480
1,13.24,21,2.8,2.69,4.32,1.04,735
1,14.2,15.2,3.27,3.39,6.75,1.05,1450
1,14.39,14.6,2.5,2.52,5.25,1.02,1290
1,14.06,17.6,2.6,2.51,5.05,1.06,1295
1,14.83,14,2.8,2.98,5.2,1.08,1045
1,13.86,16,2.98,3.15,7.22,1.01,1045
1,14.1,18,2.95,3.32,5.75,1.25,1510
1,14.12,16.8,2.2,2.43,5,1.17,1280
1,13.75,16,2.6,2.76,5.6,1.15,1320
1,14.75,11.4,3.1,3.69,5.4,1.25,1150
1,14.38,12,3.3,3.64,7.5,1.2,1547
1,13.63,17.2,2.85,2.91,7.3,1.28,1310
1,14.3,20,2.8,3.14,6.2,1.07,1280
1,13.83,20,2.95,3.4,6.6,1.13,1130
1,14.19,16.5,3.3,3.93,8.7,1.23,1680
1,13.64,15.2,2.7,3.03,5.1,0.96,845
1,14.06,16,3,3.17,5.65,1.09,780
1,12.93,18.6,2.41,2.41,4.5,1.03,770
1,13.71,16.6,2.61,2.88,3.8,1.11,1035
1,12.85,17.8,2.48,2.37,3.93,1.09,1015
1,13.5,20,2.53,2.61,3.52,1.12,845
1,13.05,25,2.63,2.68,3.58,1.13,830
1,13.39,16.1,2.85,2.94,4.8,0.92,1195
1,13.3,17,2.4,2.19,3.95,1.02,1285
1,13.87,19.4,2.95,2.97,4.5,1.25,915
1,14.02,16,2.65,2.33,4.7,1.04,1035
1,13.73,22.5,3,3.25,5.7,1.19,1285
1,13.58,19.1,2.86,3.19,6.9,1.09,1515
1,13.68,17.2,2.42,2.69,3.84,1.23,990
1,13.76,19.5,2.95,2.74,5.4,1.25,1235
1,13.51,19,2.35,2.53,4.2,1.1,1095
1,13.48,20.5,2.7,2.98,5.1,1.04,920
1,13.28,15.5,2.6,2.68,4.6,1.09,880
1,13.05,18,2.45,2.43,4.25,1.12,1105
1,13.07,15.5,2.4,2.64,3.7,1.18,1020
1,14.22,13.2,3,3.04,5.1,0.89,760
1,13.56,16.2,3.15,3.29,6.13,0.95,795
1,13.41,18.8,2.45,2.68,4.28,0.91,1035
1,13.88,15,3.25,3.56,5.43,0.88,1095
1,13.24,17.5,2.64,2.63,4.36,0.82,680
1,13.05,17,3,3,5.04,0.88,885
1,14.21,18.9,2.85,2.65,5.24,0.87,1080
1,14.38,16,3.25,3.17,4.9,1.04,1065
1,13.9,16,3.1,3.39,6.1,0.91,985
1,14.1,18.8,2.75,2.92,6.2,1.07,1060
1,13.94,17.4,2.88,3.54,8.9,1.12,1260
1,13.05,12.4,2.72,3.27,7.2,1.12,1150
1,13.83,17.2,2.45,2.99,5.6,1.24,1265
1,13.82,14,3.88,3.74,7.05,1.01,1190
1,13.77,17.1,3,2.79,6.3,1.13,1375
1,13.74,16.4,2.6,2.9,5.85,0.92,1060
1,13.56,20.5,2.96,2.78,6.25,0.98,1120
1,14.22,16.3,3.2,3,6.38,0.94,970
1,13.29,16.8,3,3.23,6,1.07,1270
1,13.72,16.7,3.4,3.67,6.8,0.89,1285
2,12.37,10.6,1.98,0.57,1.95,1.05,520
2,12.33,16,2.05,1.09,3.27,1.25,680
2,12.64,16.8,2.02,1.41,5.75,0.98,450
2,13.67,18,2.1,1.79,3.8,1.23,630
2,12.37,19,3.5,3.1,4.45,1.22,420
2,12.17,19,1.89,1.75,2.95,1.45,355
2,12.37,18.1,2.42,2.65,4.6,1.19,678
2,13.11,15,2.98,3.18,5.3,1.12,502
2,12.37,19.6,2.11,2,4.68,1.12,510
2,13.34,17,2.53,1.3,3.17,1.02,750
2,12.21,16.8,1.85,1.28,2.85,1.28,718
2,12.29,20.4,1.1,1.02,3.05,0.906,870
2,13.86,25,2.95,2.86,3.38,1.36,410
2,13.49,24,1.88,1.84,3.74,0.98,472
2,12.99,30,3.3,2.89,3.35,1.31,985
2,11.96,21,3.38,2.14,3.21,0.99,886
2,11.66,16,1.61,1.57,3.8,1.23,428
2,13.03,16,1.95,2.03,4.6,1.19,392
2,11.84,18,1.72,1.32,2.65,0.96,500
2,12.33,14.8,1.9,1.85,3.4,1.06,750
2,12.7,23,2.83,2.55,2.57,1.19,463
2,12,19,2.42,2.26,2.5,1.38,278
2,12.72,18.8,2.2,2.53,3.9,1.16,714
2,12.08,24,2,1.58,2.2,1.31,630
2,13.05,22.5,1.65,1.59,4.8,0.84,515
2,11.84,18,2.2,2.21,3.05,0.79,520
2,12.67,18,2.2,1.94,2.62,1.23,450
2,12.16,22.8,1.78,1.69,2.45,1.33,495
2,11.65,26,1.92,1.61,2.6,1.36,562
2,11.64,21.6,1.95,1.69,2.8,1,680
2,12.08,23.6,2.2,1.59,1.74,1.07,625
2,12.08,18.5,1.6,1.5,2.4,1.08,480
2,12,22,1.45,1.25,3.6,1.05,450
2,12.69,20.7,1.38,1.46,3.05,0.96,495
2,12.29,18,2.45,2.25,2.15,1.15,290
2,11.62,18,3.02,2.26,3.25,1.16,345
2,12.47,19,2.5,2.27,2.6,1.16,937
2,11.81,21.5,1.6,0.99,2.5,0.95,625
2,12.29,16,2.55,2.5,2.9,1.23,428
2,12.37,18.5,3.52,3.75,4.5,1.04,660
2,12.29,18,2.85,2.99,2.3,1.42,406
2,12.08,17.5,2.23,2.17,3.3,1.27,710
2,12.6,18.5,1.45,1.36,2.45,1.04,562
2,12.34,21,2.56,2.11,2.8,0.8,438
2,11.82,19.5,2.5,1.64,2.06,0.94,415
2,12.51,20.5,2.2,1.92,2.94,1.04,672
2,12.42,22,1.68,1.84,2.7,0.86,315
2,12.25,19,1.65,2.03,3.4,1,510
2,12.72,22.5,1.38,1.76,3.3,0.88,488
2,12.22,19,2.36,2.04,2.7,0.86,312
2,11.61,20,2.74,2.92,2.65,0.96,680
2,11.46,19.5,3.18,2.58,2.9,0.75,562
2,12.52,21,2.55,2.27,2,0.9,325
2,11.76,20,1.75,2.03,3.8,1.23,607
2,11.41,21,2.48,2.01,3.08,1.1,434
2,12.08,22.5,2.56,2.29,2.9,0.93,385
2,11.03,21.5,2.46,2.17,1.9,1.71,407
2,11.82,20.8,1.98,1.6,1.95,0.95,495
2,12.42,22.5,2,2.09,2.06,1.06,345
2,12.77,16,1.63,1.25,3.4,0.7,372
2,12,19,2,1.64,1.28,0.93,564
2,11.45,20,2.9,2.79,3.25,0.8,625
2,11.56,28.5,3.18,5.08,6,0.93,465
2,12.42,26.5,2.2,2.13,2.08,0.92,365
2,13.05,21.5,2.62,2.65,2.6,0.73,380
2,11.87,21,2.86,3.03,2.8,0.75,380
2,12.07,21,2.6,2.65,2.76,0.86,378
2,12.43,21.5,2.74,3.15,3.94,0.69,352
2,11.79,28.5,2.13,2.24,3,0.97,466
2,12.37,24.5,2.22,2.45,2.12,0.89,342
2,12.04,22,2.1,1.75,2.6,0.79,580
3,12.86,18,1.51,1.25,4.1,0.76,630
3,12.88,20,1.3,1.22,5.4,0.74,530
3,12.81,24,1.15,1.09,5.7,0.66,560
3,12.7,21.5,1.7,1.2,5,0.78,600
3,12.51,17.5,2,0.58,5.45,0.75,650
3,12.6,18.5,1.62,0.66,7.1,0.73,695
3,12.25,21,1.38,0.47,3.85,0.75,720
3,12.53,25,1.79,0.6,5,0.82,515
3,13.49,19.5,1.62,0.48,5.7,0.81,580
3,12.84,24,2.32,0.6,4.92,0.89,590
3,12.93,21,1.54,0.5,4.6,0.77,600
3,13.36,20,1.4,0.5,5.6,0.7,780
3,13.52,23.5,1.55,0.52,4.35,0.89,520
